agent_number,statistic,season,year,prop_missing,temperature,period_start,period_end,lat,lon,site,anomaly,reference_period
1770,Minimum,Spring,2019,0,7.8,2019-09-01,2019-11-30,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Minimum,Summer,2019,0,13.233333333333300,2018-12-01,2019-02-28,-38.10595,176.31485,Rotorua,NA,1961-1990
1770,Minimum,Winter,2019,0,4.633333333333330,2019-06-01,2019-08-31,-38.10595,176.31485,Rotorua,NA,1961-1990
1858,Average,Autumn,2019,0,12.933333333333300,2019-03-01,2019-05-31,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Average,Spring,2019,0,11.866666666666700,2019-09-01,2019-11-30,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Average,Summer,2019,0,17.8,2018-12-01,2019-02-28,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Average,Winter,2019,0,7.666666666666670,2019-06-01,2019-08-31,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Maximum,Autumn,2019,0,18.266666666666700,2019-03-01,2019-05-31,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Maximum,Spring,2019,0,17.033333333333300,2019-09-01,2019-11-30,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Maximum,Summer,2019,0,23.133333333333300,2018-12-01,2019-02-28,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Maximum,Winter,2019,0,11.633333333333300,2019-06-01,2019-08-31,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Minimum,Autumn,2019,0,7.633333333333330,2019-03-01,2019-05-31,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Minimum,Spring,2019,0,6.7,2019-09-01,2019-11-30,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Minimum,Summer,2019,0,12.433333333333300,2018-12-01,2019-02-28,-38.74263,176.08104,Taupo,NA,1961-1990
1858,Minimum,Winter,2019,0,3.7,2019-06-01,2019-08-31,-38.74263,176.08104,Taupo,NA,1961-1990
1962,Average,Autumn,2019,0,17.03333333333330,2019-03-01,2019-05-31,-37.00813,174.78873,Auckland,0.878666666666664,1961-1990
1962,Average,Spring,2019,0,15.1,2019-09-01,2019-11-30,-37.00813,174.78873,Auckland,0.690666666666667,1961-1990
1962,Average,Summer,2019,0,20.333333333333300,2018-12-01,2019-02-28,-37.00813,174.78873,Auckland,1.2583333333333400,1961-1990
1962,Average,Winter,2019,0,11.966666666666700,2019-06-01,2019-08-31,-37.00813,174.78873,Auckland,0.8880000000000000,1961-1990
1962,Maximum,Autumn,2019,0,21.1,2019-03-01,2019-05-31,-37.00813,174.78873,Auckland,1.3080000000000000,1961-1990
1962,Maximum,Spring,2019,0,18.466666666666700,2019-09-01,2019-11-30,-37.00813,174.78873,Auckland,0.7639999999999990,1961-1990
1962,Maximum,Summer,2019,0,23.966666666666700,2018-12-01,2019-02-28,-37.00813,174.78873,Auckland,1.2125000000000000,1961-1990
1962,Maximum,Winter,2019,0,15.433333333333300,2019-06-01,2019-08-31,-37.00813,174.78873,Auckland,0.897333333333334,1961-1990
1962,Minimum,Autumn,2019,0,12.933333333333300,2019-03-01,2019-05-31,-37.00813,174.78873,Auckland,0.4040000000000000,1961-1990
1962,Minimum,Spring,2019,0,11.8,2019-09-01,2019-11-30,-37.00813,174.78873,Auckland,0.690666666666667,1961-1990
1962,Minimum,Summer,2019,0,16.666666666666700,2018-12-01,2019-02-28,-37.00813,174.78873,Auckland,1.270833333333330,1961-1990
1962,Minimum,Winter,2019,0,8.533333333333330,2019-06-01,2019-08-31,-37.00813,174.78873,Auckland,0.9146666666666660,1961-1990
2112,Average,Autumn,2019,0,15.033333333333300,2019-03-01,2019-05-31,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Average,Spring,2019,0,13.700000000000000,2019-09-01,2019-11-30,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Average,Summer,2019,0,19.2,2018-12-01,2019-02-28,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Average,Winter,2019,0,9.8,2019-06-01,2019-08-31,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Maximum,Autumn,2019,0,21.233333333333300,2019-03-01,2019-05-31,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Maximum,Spring,2019,0,19.03333333333330,2019-09-01,2019-11-30,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Maximum,Summer,2019,0,25.2,2018-12-01,2019-02-28,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Maximum,Winter,2019,0,14.766666666666700,2019-06-01,2019-08-31,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Minimum,Autumn,2019,0,8.866666666666670,2019-03-01,2019-05-31,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Minimum,Spring,2019,0,8.4,2019-09-01,2019-11-30,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Minimum,Summer,2019,0,13.166666666666700,2018-12-01,2019-02-28,-37.86088,175.33175,Hamilton,NA,1961-1990
2112,Minimum,Winter,2019,0,4.833333333333330,2019-06-01,2019-08-31,-37.86088,175.33175,Hamilton,NA,1961-1990
2250,Average,Autumn,2019,0,14.033333333333300,2019-03-01,2019-05-31,-38.88784,175.25981,Taumarunui,0.5777777777777780,1961-1990
2250,Average,Spring,2019,0,12.833333333333300,2019-09-01,2019-11-30,-38.88784,175.25981,Taumarunui,0.027777777777778600,1961-1990
2250,Average,Summer,2019,0,18.433333333333300,2018-12-01,2019-02-28,-38.88784,175.25981,Taumarunui,0.5155555555555540,1961-1990
2250,Average,Winter,2019,0,8.433333333333330,2019-06-01,2019-08-31,-38.88784,175.25981,Taumarunui,0.42666666666666800,1961-1990
2250,Maximum,Autumn,2019,0,19.96666666666670,2019-03-01,2019-05-31,-38.88784,175.25981,Taumarunui,0.5188888888888920,1961-1990
2250,Maximum,Spring,2019,0,18.566666666666700,2019-09-01,2019-11-30,-38.88784,175.25981,Taumarunui,0.27888888888889000,1961-1990
2250,Maximum,Summer,2019,0,24.766666666666700,2018-12-01,2019-02-28,-38.88784,175.25981,Taumarunui,0.5244444444444450,1961-1990
2250,Maximum,Winter,2019,0,13.333333333333300,2019-06-01,2019-08-31,-38.88784,175.25981,Taumarunui,0.17111111111110900,1961-1990
2250,Minimum,Autumn,2019,0,7.966666666666670,2019-03-01,2019-05-31,-38.88784,175.25981,Taumarunui,0.5133333333333340,1961-1990
2250,Minimum,Spring,2019,0,7.1,2019-09-01,2019-11-30,-38.88784,175.25981,Taumarunui,-0.22222222222222200,1961-1990
2250,Minimum,Summer,2019,0,12.066666666666700,2018-12-01,2019-02-28,-38.88784,175.25981,Taumarunui,0.4666666666666670,1961-1990
2250,Minimum,Winter,2019,0,3.5333333333333300,2019-06-01,2019-08-31,-38.88784,175.25981,Taumarunui,0.6733333333333340,1961-1990
2283,Average,Autumn,2019,0,15.566666666666700,2019-03-01,2019-05-31,-39.0079,174.18382,New Plymouth,1.1500000000000000,1961-1990
2283,Average,Spring,2019,0,13.166666666666700,2019-09-01,2019-11-30,-39.0079,174.18382,New Plymouth,0.4455555555555560,1961-1990
2283,Average,Summer,2019,0,18.233333333333300,2018-12-01,2019-02-28,-39.0079,174.18382,New Plymouth,1.2422222222222200,1961-1990
2283,Average,Winter,2019,0,10.766666666666700,2019-06-01,2019-08-31,-39.0079,174.18382,New Plymouth,0.8811111111111120,1961-1990
2283,Maximum,Autumn,2019,0,19.7,2019-03-01,2019-05-31,-39.0079,174.18382,New Plymouth,1.3422222222222200,1961-1990
2283,Maximum,Spring,2019,0,17.03333333333330,2019-09-01,2019-11-30,-39.0079,174.18382,New Plymouth,0.8322222222222210,1961-1990
2283,Maximum,Summer,2019,0,22.533333333333300,2018-12-01,2019-02-28,-39.0079,174.18382,New Plymouth,1.4222222222222200,1961-1990
2283,Maximum,Winter,2019,0,14.533333333333300,2019-06-01,2019-08-31,-39.0079,174.18382,New Plymouth,1.137777777777780,1961-1990
2283,Minimum,Autumn,2019,0,11.4,2019-03-01,2019-05-31,-39.0079,174.18382,New Plymouth,0.9166666666666660,1961-1990
2283,Minimum,Spring,2019,0,9.366666666666670,2019-09-01,2019-11-30,-39.0079,174.18382,New Plymouth,0.137777777777778,1961-1990
2283,Minimum,Summer,2019,0,13.933333333333300,2018-12-01,2019-02-28,-39.0079,174.18382,New Plymouth,1.0533333333333300,1961-1990
2283,Minimum,Winter,2019,0,7.033333333333330,2019-06-01,2019-08-31,-39.0079,174.18382,New Plymouth,0.6855555555555550,1961-1990
2534,Average,Autumn,2019,0,13.200000000000000,2019-03-01,2019-05-31,-40.21,176.109,Dannevirke,0.6577777777777790,1961-1990
2534,Average,Spring,2019,0,12.666666666666700,2019-09-01,2019-11-30,-40.21,176.109,Dannevirke,1.118390804597700,1961-1990
2534,Average,Summer,2019,0,17.033333333333300,2018-12-01,2019-02-28,-40.21,176.109,Dannevirke,0.8195402298850600,1961-1990
2534,Average,Winter,2019,0,8.833333333333330,2019-06-01,2019-08-31,-40.21,176.109,Dannevirke,1.2781609195402300,1961-1990
2534,Maximum,Autumn,2019,0,18.266666666666700,2019-03-01,2019-05-31,-40.21,176.109,Dannevirke,1.2255555555555600,1961-1990
2534,Maximum,Spring,2019,0,17.133333333333300,2019-09-01,2019-11-30,-40.21,176.109,Dannevirke,1.3402298850574700,1961-1990
2534,Maximum,Summer,2019,0,22.3,2018-12-01,2019-02-28,-40.21,176.109,Dannevirke,1.1000000000000000,1961-1990
2534,Maximum,Winter,2019,0,12.9,2019-06-01,2019-08-31,-40.21,176.109,Dannevirke,1.6528735632183900,1961-1990
2534,Minimum,Autumn,2019,0,8.133333333333330,2019-03-01,2019-05-31,-40.21,176.109,Dannevirke,0.05888888888888920,1961-1990
2534,Minimum,Spring,2019,0,8.166666666666670,2019-09-01,2019-11-30,-40.21,176.109,Dannevirke,0.8299999999999990,1961-1990
2534,Minimum,Summer,2019,0,11.800000000000000,2018-12-01,2019-02-28,-40.21,176.109,Dannevirke,0.56111111111111,1961-1990
2534,Minimum,Winter,2019,0,4.766666666666670,2019-06-01,2019-08-31,-40.21,176.109,Dannevirke,0.8544444444444440,1961-1990
